"age","cuentaPropia","estrato1","formal","ingtot","maxEducLevel","parentesco_jhogar","tiempo_trabajando","otro_trabajo","relab","gender","sizeFirm","totalHoursWorked","y_salary_m","y_salary_m_hu","y_ingLab_m","y_primaServicios_m","y_ingLab_m_ha","y_total_m","y_total_m_ha","female","H_Head","mean_ingtot","log_ingtot"
63,"1","3","0",2e+05,"3","2",300,"2","4","0","2",60,1556199.65547918,7945.64299169031,1745416.3438112,1117460.30167986,8822.22934101255,1617550.51747336,8541.87432821598,"1","0",1636072.34663713,12.2060726455302
71,"1","3","0",1200000,"3","1",300,"2","4","1","2",60,1556199.65547918,7945.64299169031,1745416.3438112,1117460.30167986,8822.22934101255,1617550.51747336,8541.87432821598,"0","1",1636072.34663713,13.9978321147582
52,"0","4","1",11177083.3333333,"7","1",174,"2","2","1","5",45,7500000,38888.890625,8977084,7500000,46547.84375,8977084,46547.84375,"0","1",3866322.2277235,16.2293761091271
52,"0","4","1",6018333.33333333,"7","2",60,"2","2","0","5",45,5200000,26962.962890625,6018333.5,5200000,31206.173828125,6018333.5,31206.173828125,"1","0",3866322.2277235,15.6103209240256
25,"0","4","1",1461473.33333333,"7","3",6,"2","1","1","5",48,1320000,6416.66650390625,1461473.375,7e+05,7104.38427734375,1461473.375,7104.38427734375,"0","0",3866322.2277235,14.1949556172728
53,"1","4","0",980000,"4","1",144,"2","4","0","1",48,1556199.65547918,7945.64299169031,1745416.3438112,1117460.30167986,8822.22934101255,980000,4763.888671875,"1","1",3866322.2277235,13.7953078506468
30,"0","4","1",2166666.66666667,"7","3",24,"2","1","0","4",48,2e+06,9722.22265625,2166666.75,1e+06,10532.408203125,2166666.75,10532.408203125,"1","0",3866322.2277235,14.5887004461978
42,"0","4","1",2e+06,"6","1",84,"2","5","1","3",72,1556199.65547918,7945.64299169031,1745416.3438112,1117460.30167986,8822.22934101255,1617550.51747336,8541.87432821598,"0","1",3866322.2277235,14.5086577385242
52,"0","4","1",8e+05,"6","2",84,"2","5","0","3",72,1556199.65547918,7945.64299169031,1745416.3438112,1117460.30167986,8822.22934101255,1617550.51747336,8541.87432821598,"1","0",3866322.2277235,13.5923670066501
41,"1","3","0",1200000,"7","2",56,"2","4","1","1",40,1556199.65547918,7945.64299169031,1745416.3438112,1117460.30167986,8822.22934101255,1617550.51747336,8541.87432821598,"0","0",1636072.34663713,13.9978321147582
19,"0","3","1",916666.666666667,"7","3",18,"2","1","0","5",48,850000,4131.9443359375,916666.6875,8e+05,4456.0185546875,916666.6875,4456.0185546875,"1","0",1636072.34663713,13.7284991809746
37,"0","3","1",889357,"7","1",12,"2","1","0","5",48,737717,3586.12426757812,889357,750000,4323.26318359375,889357,4323.26318359375,"1","1",1636072.34663713,13.6982540086896
